ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
300154.SZ,20171130,7.21,0.5208,1.0094,,43.9965,48.0155,2.0851,5.9105,5.2855,44700.0,31382.49,16192.5,322287.0,226267.7529
002249.SZ,20171130,6.93,0.6729,0.878,,32.2456,38.8074,1.8316,2.4135,2.0371,237003.0224,135982.7601,104214.5943,1642430.9452,942360.5275
000622.SZ,20171130,5.22,0.3402,0.6253,,46.2442,40.2843,11.7004,53.014,46.3037,42522.6,42522.6,23134.6,221967.972,221967.972
300329.SZ,20171130,9.15,0.4083,0.7388,,69.0796,60.5213,2.7873,5.9081,5.1821,25128.988,25088.488,13863.668,229930.2402,229559.6652
600249.SH,20171130,6.06,0.8272,1.1156,,123.8897,68.3706,1.7214,2.134,2.2195,55000.0,45000.0,33368.0181,333300.0,272700.0
603826.SH,20171130,15.63,2.4557,2.4557,,51.7415,47.6182,5.039,13.783,12.2316,36000.0,9000.0,8999.81,562680.0,140670.0
600397.SH,20171130,3.87,0.4179,0.689,,,,2.7774,1.1748,1.1017,98995.9882,98995.9882,60047.3792,383114.4743,383114.4743
000428.SZ,20171130,4.0,0.2636,0.4885,,,,1.4805,4.0604,4.238,101892.6,71872.175,38781.283,407570.4,287488.7
600321.SH,20171130,4.26,0.7974,1.154,,1548.3133,61.0845,2.3968,11.4356,7.9642,151055.0,118088.0,81595.3862,643494.3,503054.88
600648.SH,20171130,17.97,0.1897,0.5332,,28.2363,45.5836,2.0038,2.3567,2.6549,113534.9124,93479.1624,33266.4508,2040222.3758,1679820.5483
600967.SH,20171130,11.59,0.8323,1.1841,,39.4411,23.06,2.5771,1.9466,1.2107,168963.1817,82282.7999,57836.9832,1958283.2759,953657.6508
600039.SH,20171130,4.07,0.2025,0.3612,,14.0681,16.2488,1.1994,0.4881,0.5212,361052.551,301973.2672,169294.3902,1469483.8826,1229031.1975
000738.SZ,20171130,16.51,0.316,0.8571,,90.5677,81.0502,3.7069,7.554,7.569,114564.2349,114564.2349,42232.6462,1891455.5182,1891455.5182
600888.SH,20171130,6.38,1.3277,2.129,,135.3669,47.5632,1.5995,0.9588,1.1428,83359.3634,83359.3634,51985.585,531832.7385,531832.7385
600340.SH,20171130,32.08,0.8369,2.0072,,14.6027,11.679,2.5311,1.7613,1.6006,295494.6709,295494.6709,123205.3591,9479469.0425,9479469.0425
603159.SH,20171130,25.33,2.776,2.776,,61.0885,54.8209,6.6196,5.3731,4.426,10000.0,2500.0,2500.0,253300.0,63325.0
600812.SH,20171130,5.08,0.1328,0.2805,,152.2462,728.5221,1.5604,1.025,1.0616,163080.4729,163080.4729,77203.1554,828448.8023,828448.8023
002712.SZ,20171130,25.05,0.4494,0.6893,,56.0205,34.3861,3.1726,2.075,1.9011,31656.3817,16310.2038,10634.9614,792992.3616,408570.6052
