ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv
300254.SZ,20111230,10.9,3.7973,3.7973,,30.3941,29.5263,2.5231,4.5639,4.2984,13380.0,3380.0,3380.0,145842.0,36842.0
300255.SZ,20111230,18.1,2.6936,2.6936,,32.4318,28.6334,2.022,4.1826,4.0647,10785.0,2700.0,2700.0,195208.5,48870.0
300256.SZ,20111230,17.51,2.9817,2.9817,,32.3201,26.8661,2.2903,5.7652,3.6495,10000.0,2500.0,2500.0,175100.0,43775.0
300257.SZ,20111230,60.0,1.6358,1.6358,,42.1465,32.1357,3.1041,5.2773,4.3667,14300.0,3600.0,3600.0,858000.0,216000.0
300258.SZ,20111230,20.7,6.9724,6.9724,,28.5042,25.0938,2.379,6.7038,5.7312,10000.0,2500.0,2500.0,207000.0,51750.0
300259.SZ,20111230,17.22,2.6162,2.6162,,33.0875,25.9708,2.3972,7.7931,6.0215,7568.0,1900.0,1900.0,130320.96,32718.0
300260.SZ,20111230,25.38,2.954,2.954,,39.878,31.2404,2.7414,6.9419,5.4225,6670.0,1670.0,1670.0,169284.6,42384.6
300121.SZ,20111230,12.27,0.7011,0.7011,,45.9837,66.3055,3.055,3.804,3.5976,10800.0,2700.0,2700.0,132516.0,33129.0
300122.SZ,20111230,27.08,0.9066,0.9066,,42.1826,50.9386,4.9446,14.6912,15.0102,40000.0,6790.0,6790.0,1083200.0,183873.2
300123.SZ,20111230,12.68,0.6357,0.6642,,55.1656,45.8452,2.1933,7.2346,5.7568,13910.5521,6301.4971,6031.4971,176385.8006,79902.9832
300124.SZ,20111230,54.2,2.3039,2.7552,,53.1347,35.8413,4.8332,17.3542,11.7509,21600.0,6457.455,5399.9,1170720.0,349994.061
300125.SZ,20111230,17.25,0.6758,0.6758,,30.7626,35.0197,1.9262,3.4362,3.759,11800.0,3570.4612,3570.4612,203550.0,61590.4557
300126.SZ,20111230,10.9,0.6624,0.8302,,30.5137,23.3107,1.7601,3.9539,3.06,15156.0,4749.0984,3789.0,165200.4,51765.1726
600999.SH,20111230,10.18,0.175,0.2204,,14.6956,15.646,1.9364,7.3152,7.2373,466109.9829,245556.9272,194961.742,4744999.6259,2499769.5189
601000.SH,20111230,6.18,0.1211,0.2311,,20.2681,16.4677,1.5388,2.7263,2.4517,112797.3058,45000.0,23588.0,697087.3498,278100.0
601001.SH,20111230,12.16,0.1415,0.3579,,15.8137,14.1062,1.9668,1.9469,1.6624,167370.0,167370.0,66150.0,2035219.2,2035219.2
601002.SH,20111230,9.77,0.8491,2.0352,,31.204,50.9186,4.1425,2.3855,2.3473,73847.0,73847.0,30810.6944,721485.19,721485.19
601003.SH,20111230,3.47,0.0543,0.3105,,14.0897,20.133,1.7146,0.2396,0.2009,256279.32,256279.32,44836.0065,889289.2404,889289.2404
601005.SH,20111230,2.89,0.1134,0.3388,,500.4234,215.9963,0.8999,0.3014,0.202,173312.72,119500.0,39986.3035,500873.7608,345355.0
601006.SH,20111230,7.46,0.2014,0.5257,,10.653,9.7584,1.8383,2.6398,2.5037,1486679.1491,1486679.1491,569469.7955,11090626.4523,11090626.4523
601007.SH,20111230,6.73,0.4352,0.7828,,17.9518,17.7425,1.7758,3.9242,3.0993,30000.0,30000.0,16679.2503,201900.0,201900.0
600691.SH,20111230,10.29,0.2377,0.2377,,431.0539,,,38.2104,34.7516,11447.9028,8164.5,8164.5,117798.9198,84012.705
600692.SH,20111230,5.27,1.2928,1.3886,,,,4.12,7.703,8.4902,35176.4064,25501.0517,23742.2313,185379.6617,134390.5425
600693.SH,20111230,6.9,0.9588,1.0171,,23.4726,7.5235,2.3593,1.2514,1.1327,34322.2594,29901.1927,28185.0798,236823.5899,206318.2296
600694.SH,20111230,33.28,1.1765,1.4247,,80.2659,29.7477,2.7286,0.4015,0.3339,29371.8653,29371.8653,24254.5391,977495.6772,977495.6772
600695.SH,20111230,5.11,0.271,0.76,,270.6456,54.0095,14.6985,4.8701,5.3112,67630.5696,32957.2848,11753.16,345592.2107,168411.7253
600697.SH,20111230,26.65,0.4863,0.6348,,32.1402,27.7044,4.5044,0.811,0.6581,15908.8075,15515.6015,11884.2124,423969.7199,413490.78
600699.SH,20111230,8.0,0.6217,0.7953,,27.9588,,3.5631,20.3258,100.4393,39204.8475,18572.3709,14518.8661,313638.78,148578.9672
600701.SH,20111230,3.46,0.3512,0.4441,,89.2239,50.5842,1.9755,2.2859,1.9403,49878.1936,49878.1936,39445.4508,172578.5499,172578.5499
600702.SH,20111230,16.63,0.4645,0.6815,,73.3445,50.6069,2.9091,6.2702,5.3356,33730.0,33730.0,22985.8232,560929.9,560929.9
600703.SH,20111230,10.93,1.2184,2.1142,,37.6446,21.6894,2.9701,18.2969,11.0955,144401.3776,120510.6976,69447.5977,1578307.0572,1317181.9248
600718.SH,20111230,8.14,0.4233,0.7666,,20.6171,22.5263,2.2153,2.0237,1.8079,122759.4245,122759.4245,67789.4889,999261.7154,999261.7154
600719.SH,20111230,5.86,0.6524,1.1395,,94.7477,,1.6986,1.7767,1.8659,20229.98,20229.98,11582.4238,118547.6828,118547.6828
002313.SZ,20111230,40.5,0.3426,0.3426,,40.188,29.4565,4.0335,4.4924,3.2974,10000.0,2500.0,2500.0,405000.0,101250.0
002314.SZ,20111230,9.98,0.424,0.5302,,19.9251,20.3686,1.4748,1.2913,1.1758,29000.0,11070.6448,8852.5425,289420.0,110485.0351
002315.SZ,20111230,42.4,1.1441,1.1456,,33.1318,28.1846,3.1619,14.9638,11.9207,11750.0,3039.7786,3035.7622,498200.0,128886.6126
002316.SZ,20111230,8.95,1.1411,1.1411,,43.5847,42.8,2.3652,7.1545,5.7701,21840.0,11848.2,11848.2,195468.0,106041.39
002317.SZ,20111230,22.09,0.4889,0.4889,,30.2349,26.8606,2.7588,6.2059,5.507,18000.0,4500.0,4500.0,397620.0,99405.0
002318.SZ,20111230,17.1,0.1583,0.2761,,48.5792,32.2817,2.4486,1.9934,1.6665,20800.0,10603.1847,6079.1848,355680.0,181314.4584
002168.SZ,20111230,9.66,0.9614,1.3424,,86.7474,85.2691,5.8388,17.2665,17.1591,63092.064,32418.2994,23217.3857,609469.3382,313160.7722
002179.SZ,20111230,16.4,0.5948,0.8493,,41.3861,34.8309,4.9,4.3299,3.5229,40162.5,20913.1875,14646.3472,658665.0,342976.275
